2026-01-06 17:21:09 +05:30: 🟢 Polling-based printer service started
2026-01-06 17:21:09 +05:30: 🖨️  Target printer: 192.168.0.105:9100
2026-01-06 17:21:09 +05:30: 📡 Polling: https://qsr.catalystsolutions.eco/Tap-N-Eat/api/print-queue.php
2026-01-06 17:21:09 +05:30: ⏱️  Poll interval: 2000ms
2026-01-06 17:21:09 +05:30: 🔑 API Key: print_secret
2026-01-06 17:21:10 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:11 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:13 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:15 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:17 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:19 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:21 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:23 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:25 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:27 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:29 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:31 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:33 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:35 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:37 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:39 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:41 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:43 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:45 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:48 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:50 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:52 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:54 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:56 +05:30: 📡 Polling for print jobs...
2026-01-06 17:21:58 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:00 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:02 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:04 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:06 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:08 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:10 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:12 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:14 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:16 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:18 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:20 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:22 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:24 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:26 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:28 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:30 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:32 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:34 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:36 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:38 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:40 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:42 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:44 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:48 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:50 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:52 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:54 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:56 +05:30: 📡 Polling for print jobs...
2026-01-06 17:22:58 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:00 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:02 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:04 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:06 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:08 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:10 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:12 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:14 +05:30: 📡 Polling for print jobs...
2026-01-06 17:23:16 +05:30: 📡 Polling for print jobs...
